epoch,loss,accuracy,precision,recall,f1
1,6565.422259162454,0.4444444444444444,0.0,0.0,0.0
2,1724.163242115694,0.3333333333333333,0.0,0.0,0.0
3,508.86986048081343,0.3333333333333333,0.4,0.4,0.4000000000000001
4,415.48324966430664,0.5555555555555556,0.6666666666666666,0.4,0.5
5,406.24461050594556,0.4444444444444444,0.5,0.6,0.5454545454545454
6,507.5319860121783,0.4444444444444444,0.5,0.2,0.28571428571428575
7,484.1085205078125,0.5555555555555556,0.6,0.6,0.6
8,449.1421881283031,0.4444444444444444,0.0,0.0,0.0
9,519.2367625517004,0.5555555555555556,0.6,0.6,0.6
10,312.9465738184312,0.6666666666666666,0.6666666666666666,0.8,0.7272727272727272
11,579.389601763557,0.4444444444444444,0.0,0.0,0.0
12,380.22307676427505,0.6666666666666666,0.6666666666666666,0.8,0.7272727272727272
13,309.6426480237175,0.5555555555555556,0.6,0.6,0.6
14,780.7356173571418,0.5555555555555556,0.6,0.6,0.6
15,600.435884363511,0.7777777777777778,0.7142857142857143,1.0,0.8333333333333333
16,606.9635256598978,0.6666666666666666,0.6666666666666666,0.8,0.7272727272727272
17,425.82015194612393,0.4444444444444444,0.5,0.4,0.4444444444444445
18,218.6989654618151,0.6666666666666666,0.6666666666666666,0.8,0.7272727272727272
19,415.3768938849954,0.5555555555555556,0.6,0.6,0.6
20,387.80040899445027,0.5555555555555556,0.6,0.6,0.6
21,217.5370600083295,0.5555555555555556,0.6,0.6,0.6
22,167.2942737130558,0.5555555555555556,0.6,0.6,0.6
23,151.36577081680298,0.6666666666666666,0.75,0.6,0.6666666666666665
24,125.92229686063878,0.6666666666666666,0.6666666666666666,0.8,0.7272727272727272
25,248.78303443684297,0.6666666666666666,0.75,0.6,0.6666666666666665
26,327.4632602018469,0.5555555555555556,0.6,0.6,0.6
27,192.50331845003015,0.7777777777777778,1.0,0.6,0.7499999999999999
28,771.2226096461801,0.4444444444444444,0.0,0.0,0.0
29,661.9672896441291,0.5555555555555556,0.6,0.6,0.6
30,230.73811244967604,0.5555555555555556,0.6,0.6,0.6
31,802.5892109590418,0.4444444444444444,0.0,0.0,0.0
32,445.5252914428711,0.4444444444444444,0.0,0.0,0.0
33,762.2093425077551,0.7777777777777778,0.7142857142857143,1.0,0.8333333333333333
34,235.02750699660356,0.6666666666666666,0.6666666666666666,0.8,0.7272727272727272
35,373.35120055254765,0.5555555555555556,0.6,0.6,0.6
36,702.3023407879998,0.7777777777777778,0.7142857142857143,1.0,0.8333333333333333
37,615.2136885699103,0.5555555555555556,0.6,0.6,0.6
38,278.38532032686123,0.5555555555555556,0.6,0.6,0.6
39,154.86089055678423,0.5555555555555556,0.6,0.6,0.6
40,200.0978285845588,0.6666666666666666,0.75,0.6,0.6666666666666665
41,218.3274949017693,0.5555555555555556,1.0,0.2,0.33333333333333337
42,526.330182243796,0.4444444444444444,0.0,0.0,0.0
43,226.8690508674173,0.5555555555555556,0.6,0.6,0.6
44,364.0264632281135,0.6666666666666666,0.75,0.6,0.6666666666666665
45,226.09632929633645,0.7777777777777778,1.0,0.6,0.7499999999999999
46,104.61478795724757,0.5555555555555556,0.6,0.6,0.6
47,196.35354889184237,0.5555555555555556,0.6,0.6,0.6
48,145.32979601852267,0.5555555555555556,0.6,0.6,0.6
49,251.6431691800126,0.5555555555555556,0.6,0.6,0.6
50,121.36278803230056,0.6666666666666666,0.6666666666666666,0.8,0.7272727272727272
51,688.2275689068963,0.4444444444444444,0.0,0.0,0.0
52,198.7334342283361,0.5555555555555556,1.0,0.2,0.33333333333333337
53,430.9934717066148,0.6666666666666666,0.6666666666666666,0.8,0.7272727272727272
54,313.8115431841682,0.5555555555555556,0.6666666666666666,0.4,0.5
55,205.0189307717716,0.5555555555555556,0.6,0.6,0.6
56,225.30693682502297,0.5555555555555556,0.6,0.6,0.6
57,94.97102490986924,0.5555555555555556,0.6,0.6,0.6
58,118.99574504179112,0.6666666666666666,0.75,0.6,0.6666666666666665
59,130.2565928066478,0.6666666666666666,1.0,0.4,0.5714285714285715
60,362.90826550651997,0.6666666666666666,1.0,0.4,0.5714285714285715
61,243.55475728652056,0.6666666666666666,0.75,0.6,0.6666666666666665
62,109.79641970480876,0.5555555555555556,0.6,0.6,0.6
63,130.87554191140566,0.7777777777777778,1.0,0.6,0.7499999999999999
64,112.11626748477711,0.4444444444444444,0.0,0.0,0.0
65,307.2213359159582,0.5555555555555556,0.6,0.6,0.6
